Location,Survey #,Camera #,SD Card,Animal Sighted,Animal Count
Lower Provo River,1,1,,Killdeer,1
Lower Provo River,1,1,,Skunk,1
Lower Provo River,1,1,,Pelican,1
Lower Provo River,1,2,,Bullock's Oriole,1
Lower Provo River,1,2,,Killdeer,1
Lower Provo River,1,2,,Beaver,1
Lower Provo River,1,2,,Pelican,1
Lower Provo River,1,2,,Swallow,1
Lower Provo River,1,3,,Magpie,1
Lower Provo River,1,3,,Pelican,1
Lower Provo River,1,4,,Beaver,5
Lower Provo River,1,4,,Killdeer,1
Lower Provo River,2,,A,Beaver,3
Lower Provo River,2,,A,Magpie,1
Lower Provo River,2,,A,Yellow Headed Blackbird,1
Lower Provo River,2,,A,Killdeer,1
Lower Provo River,2,,A,Elk,1
Lower Provo River,2,,A,Butterflies,1
Lower Provo River,2,,A,Rodent (unknown species),3
Lower Provo River,2,,A,Swallow,1
Lower Provo River,2,,C,Killdeer,1
Lower Provo River,2,,C,Raccoon,1
Lower Provo River,2,,C,Finch,1
Lower Provo River,3,,4,Yellow Headed Blackbird,1
Lower Provo River,3,,4,Yellow Headed Blackbird,1
Lower Provo River,3,,3,Killdeer,1
Lower Provo River,3,,3,Mourning Dove,1
Lower Provo River,3,,3,Swallow,1
Lower Provo River,3,1,,Raccoon,1
Lower Provo River,3,1,,Elk,1
Lower Provo River,3,1,,Unidentified Dove,1
Lower Provo River,3,1,,Mourning Dove,1
Lower Provo River,3,2,,Sandhill Crane,1
Lower Provo River,3,2,,Beaver,1
Lower Provo River,3,2,,Magpie,1
Lower Provo River,3,2,,Bullock's Oriole,1
Lower Provo River,3,2,,Raccoon,1
Lower Provo River,3,2,,Fireflies,1
Lower Provo River,3,2,,Unidentified Fish,1
Lower Provo River,3,2,,Butterflies,1
Lower Provo River,3,2,,Sea Gull,1
Lower Provo River,4,2,,Magpie,1
Lower Provo River,4,2,,Bullock's Oriole,1
Lower Provo River,4,2,,Raccoon,2
Lower Provo River,4,1,,Beaver,3
Lower Provo River,4,1,,Magpie,1
Lower Provo River,4,1,,Eagle,1
Lower Provo River,4,1,,Hawk,1
Lower Provo River,4,1,,Swallow,1
Lower Provo River,4,1,,Unidentified Dove,1
Lower Provo River,4,1,,Swallow,1
Lower Provo River,6,2,3,Swallow,1
Lower Provo River,6,1,4,Yellow Headed Blackbird,1
Lower Provo River,8,2,B,Sandhill Crane,2
Lower Provo River,8,2,B,Yellow Headed Blackbird,2
Lower Provo River,8,2,B,Bullock's Oriole,1
Lower Provo River,10,2,,Raccoon,1
Lower Provo River,10,2,,Beaver,1
Lower Provo River,10,2,,Bat,1
Lower Provo River,10,2,,Magpie,1
Lower Provo River,10,2,,Fish (unidentified),1
Lower Provo River,19,,A,Beaver,1
Lower Provo River,19,,A,Fish (unidentified),1
Lower Provo River,19,,A,Raccoon,1
Lower Provo River,19,,A,Unknown Bird,1
Lower Provo River,19,,A,Bullock's Oriole,1
Lower Provo River,19,,A,Cow,1
Lower Provo River,19,,A,Unidentified Dove,1
Middle Provo River,5,3,,Sandhill Crane,1
Middle Provo River,5,3,,Osprey,2
Middle Provo River,5,3,,Otter,1
Middle Provo River,5,3,,Magpie,1
Middle Provo River,5,3,,Black Bear,1
Middle Provo River,5,3,,Bobcat,1
Middle Provo River,7,3,,Black Bear,1
Middle Provo River,7,3,,Hawk (unidentified),1
Middle Provo River,7,3,,Wasp,1
Middle Provo River,7,4,,Beaver,6
Middle Provo River,9,4,4,Sandhill Crane,1
Middle Provo River,9,4,4,Beaver,1
Middle Provo River,9,4,4,Unknown Bird,1
Middle Provo River,9,4,4,Owl,1
Middle Provo River,9,4,4,Yellow Headed Blackbird,4
Middle Provo River,9,4,4,Black Bear,10
Middle Provo River,9,4,4,Cow,2
Middle Provo River,9,4,4,Finch,1
Middle Provo River,9,4,4,House Cat,1
Middle Provo River,9,4,4,Raccoon,1
Middle Provo River,9,4,4,Domestic Cat,1
Middle Provo River,9,3,,Sandhill Crane,1
Middle Provo River,9,3,,Owl,1
Middle Provo River,9,3,,Beaver,1
Middle Provo River,9,3,,Unidentified Duck,8
Middle Provo River,9,3,,Mink,1
Middle Provo River,11,4,,Sandhill Crane,1
Middle Provo River,11,4,,Beaver,1
Middle Provo River,11,4,,Yellow Headed Blackbird,1
Middle Provo River,11,4,,Magpie,1
Middle Provo River,11,4,,Fish (unidentified),1
Middle Provo River,11,4,,Bullock's Oriole,1
Middle Provo River,11,3,,Eagle,1
Middle Provo River,11,3,,Hawk,1
Middle Provo River,11,3,,Beaver,1
Middle Provo River,11,3,,Killdeer,1
Middle Provo River,11,3,,Unknown Bird,2
Middle Provo River,11,3,,Owl,1
Middle Provo River,11,3,,Yellow Headed Blackbird,3
Middle Provo River,11,3,,Black Bear,1
Middle Provo River,11,3,,Mouse,1
Middle Provo River,11,3,,Unidentified Duck,30
Middle Provo River,11,3,,Unidentified bird,1
Middle Provo River,13,4,4,Osprey,1
Middle Provo River,13,4,4,Otter,2
Middle Provo River,13,4,4,Muskrat,2
Middle Provo River,13,4,4,Magpie,1
Middle Provo River,13,3,3,Mallard Duck,1
Middle Provo River,13,3,3,Eagle,1
Middle Provo River,13,3,3,Hawk,1
Middle Provo River,13,3,3,Mule Deer,1
Middle Provo River,13,3,3,Elk,1
Middle Provo River,13,3,3,Domestic Dog,1
Middle Provo River,13,3,3,Sandhill Crane,1
Middle Provo River,13,3,3,Otter,1
Middle Provo River,13,3,3,Osprey,1
Middle Provo River,13,3,3,Unknown Bird,1
Middle Provo River,13,3,3,Owl,1
Middle Provo River,14,3,,Eagle,1
Middle Provo River,14,3,,Hawk,1
Middle Provo River,14,3,,Elk,1
Middle Provo River,14,3,,Sandhill Crane,1
Middle Provo River,14,3,,Beaver,1
Middle Provo River,14,3,,Killdeer,1
Middle Provo River,14,3,,Yellow Headed Blackbird,1
Middle Provo River,14,3,,Unidentified Duck,1
Middle Provo River,14,3,,Bobcat,1
Middle Provo River,14,4,,Elk,1
Middle Provo River,14,4,,Beaver,1
Middle Provo River,14,4,,Killdeer,1
Middle Provo River,14,4,,Yellow Headed Blackbird,1
